TransactionID,ProductID,WarehouseID,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
732,1541,1,Sale,2026-03-07,-24,132.59,3182.16,SO-72282,Customer Sale,37,13,system,Transaction processed for WH_100 location,system,2026-03-07
733,1543,1,Adjustment,2025-08-31,19,65.36,1241.84,ADJ-733,System Correction,91,110,warehouse1,Transaction processed for WH_100 location,system,2025-08-31
734,1532,1,Adjustment,2026-02-17,-18,67.64,1217.52,ADJ-734,System Correction,108,90,system,Transaction processed for WH_100 location,system,2026-02-17
735,1572,3,Receipt,2026-01-10,95,222.44,21131.8,PO-9393,Purchase Order Receipt,209,304,system,Transaction processed for WH_500 location,system,2026-01-10
736,3033,1,Sale,2025-09-07,-3,419.49,1258.47,SO-89124,Customer Sale,61,58,system,Transaction processed for WH_100 location,system,2025-09-07
737,3022,1,Receipt,2026-02-23,27,341.21,9212.67,PO-9778,Purchase Order Receipt,111,138,system,Transaction processed for WH_100 location,system,2026-02-23
738,3042,2,Adjustment,2025-09-02,-16,62.54,1000.64,ADJ-738,Cycle Count,165,149,system,Transaction processed for Backup location,system,2025-09-02
739,3033,1,Sale,2026-02-15,-7,419.49,2936.43,SO-91402,Customer Sale,112,105,system,Transaction processed for WH_100 location,system,2026-02-15
740,1511,2,Sale,2025-08-05,-3,321.96,965.88,SO-62433,Customer Sale,185,182,warehouse2,Transaction processed for WH_200 location,system,2025-08-05
741,3081,1,Receipt,2025-10-27,88,60.23,5300.24,PO-4065,Purchase Order Receipt,125,213,warehouse2,Transaction processed for WH_100 location,system,2025-10-27
742,3091,2,Receipt,2025-11-12,172,468.24,80537.28,PO-4659,Purchase Order Receipt,185,357,warehouse1,Transaction processed for WH_200 location,system,2025-11-12
743,1561,1,Sale,2025-12-24,-34,82.06,2790.04,SO-51048,Customer Sale,80,46,warehouse2,Transaction processed for WH_100 location,system,2025-12-24
744,2022,1,Transfer,2025-09-06,-16,36.37,581.92,TRF-6654,Warehouse Transfer,76,60,warehouse1,Transaction processed for WH_100 location,system,2025-09-06
745,1541,1,Transfer,2025-12-05,-47,132.59,6231.73,TRF-1644,Warehouse Transfer,133,86,system,Transaction processed for WH_100 location,system,2025-12-05
746,1531,2,Adjustment,2025-10-18,-16,91.09,1457.44,ADJ-746,Cycle Count,45,29,system,Transaction processed for Backup location,system,2025-10-18
747,3042,1,Sale,2025-09-10,-26,62.54,1626.04,SO-24051,Customer Sale,256,230,system,Transaction processed for WH_100 location,system,2025-09-10
748,2051,2,Damage,2025-09-10,-10,16.44,164.4,DMG-748,Quality Issue,90,80,system,Transaction processed for Backup location,system,2025-09-10
749,2051,2,Sale,2025-11-30,-7,16.44,115.08,SO-86459,Customer Sale,91,84,system,Transaction processed for Backup location,system,2025-11-30
750,3042,1,Receipt,2025-08-16,101,62.66,6328.66,PO-6407,Purchase Order Receipt,306,407,warehouse2,Transaction processed for WH_100 location,system,2025-08-16
751,2022,1,Adjustment,2025-08-31,13,36.37,472.81,ADJ-751,Cycle Count,11,24,system,Transaction processed for WH_100 location,system,2025-08-31
752,3104,2,Transfer,2026-01-28,-15,118.89,1783.35,TRF-4062,Warehouse Transfer,15,0,warehouse2,Transaction processed for Backup location,system,2026-01-28
753,3031,3,Sale,2025-07-13,-5,419.97,2099.85,SO-32615,Customer Sale,109,104,warehouse2,Transaction processed for WH_500 location,system,2025-07-13
754,3071,2,Sale,2025-09-05,-20,39.17,783.4,SO-88091,Customer Sale,90,70,warehouse1,Transaction processed for WH_200 location,system,2025-09-05
755,2121,1,Adjustment,2025-10-07,10,31.62,316.2,ADJ-755,Physical Count,33,43,system,Transaction processed for WH_100 location,system,2025-10-07
756,2012,1,Return,2026-01-23,3,250.09,750.27,RET-33609,Customer Return,100,103,warehouse2,Transaction processed for WH_100 location,system,2026-01-23
757,2021,1,Sale,2026-04-28,-44,71.31,3137.64,SO-89233,Customer Sale,106,62,system,Transaction processed for WH_100 location,system,2026-04-28
758,3061,1,Sale,2026-01-07,-49,151.7,7433.3,SO-60831,Customer Sale,111,62,warehouse2,Transaction processed for WH_100 location,system,2026-01-07
759,1531,1,Receipt,2026-03-17,140,88.93,12450.2,PO-2971,Purchase Order Receipt,77,217,system,Transaction processed for WH_100 location,system,2026-03-17
760,3091,2,Transfer,2025-10-16,-17,456.94,7767.98,TRF-3606,Warehouse Transfer,17,0,system,Transaction processed for Backup location,system,2025-10-16
761,2121,1,Sale,2026-03-07,-6,31.62,189.72,SO-77134,Customer Sale,6,0,warehouse2,Transaction processed for WH_100 location,system,2026-03-07
762,1562,1,Adjustment,2025-11-15,-6,121.04,726.24,ADJ-762,Physical Count,41,35,warehouse1,Transaction processed for WH_100 location,system,2025-11-15
763,3051,1,Receipt,2025-10-19,171,223.3,38184.3,PO-9724,Purchase Order Receipt,73,244,warehouse2,Transaction processed for WH_100 location,system,2025-10-19
764,1572,3,Sale,2026-02-09,-7,222.59,1558.13,SO-52351,Customer Sale,150,143,system,Transaction processed for WH_500 location,system,2026-02-09
765,2041,1,Receipt,2025-11-07,92,44.82,4123.44,PO-3230,Purchase Order Receipt,26,118,system,Transaction processed for WH_100 location,system,2025-11-07
766,1511,2,Transfer,2026-02-14,-22,321.96,7083.12,TRF-1172,Warehouse Transfer,51,29,warehouse2,Transaction processed for WH_200 location,system,2026-02-14
767,3071,2,Sale,2025-10-28,-19,39.17,744.23,SO-84385,Customer Sale,50,31,system,Transaction processed for WH_200 location,system,2025-10-28
768,1522,2,Receipt,2026-04-01,88,157.03,13818.64,PO-1554,Purchase Order Receipt,19,107,warehouse1,Transaction processed for Backup location,system,2026-04-01
769,1521,2,Sale,2026-03-13,-50,122.8,6140.0,SO-75557,Customer Sale,51,1,warehouse1,Transaction processed for Backup location,system,2026-03-13
770,3082,1,Transfer,2025-12-13,-36,84.82,3053.52,TRF-3724,Warehouse Transfer,36,0,warehouse1,Transaction processed for WH_100 location,system,2025-12-13
771,3104,2,Receipt,2026-02-09,107,122.6,13118.2,PO-9542,Purchase Order Receipt,73,180,system,Transaction processed for WH_200 location,system,2026-02-09
772,3091,2,Receipt,2025-11-17,182,453.67,82567.94,PO-7631,Purchase Order Receipt,36,218,warehouse2,Transaction processed for WH_200 location,system,2025-11-17
773,2012,2,Adjustment,2025-12-02,-12,312.61,3751.32,ADJ-773,Cycle Count,109,97,warehouse2,Transaction processed for Backup location,system,2025-12-02
774,2022,1,Damage,2025-11-29,-3,36.37,109.11,DMG-774,Shipping Damage,149,146,warehouse1,Transaction processed for WH_100 location,system,2025-11-29
775,3012,2,Sale,2026-01-07,-40,659.11,26364.4,SO-61835,Customer Sale,118,78,system,Transaction processed for Backup location,system,2026-01-07
776,3071,2,Sale,2026-03-06,-38,39.17,1488.46,SO-54610,Customer Sale,38,0,system,Transaction processed for WH_200 location,system,2026-03-06
777,1571,1,Receipt,2025-08-31,41,110.82,4543.62,PO-1660,Purchase Order Receipt,151,192,warehouse2,Transaction processed for WH_100 location,system,2025-08-31
778,3042,2,Sale,2026-02-10,-32,62.54,2001.28,SO-88326,Customer Sale,41,9,warehouse1,Transaction processed for Backup location,system,2026-02-10
779,3032,1,Sale,2026-03-17,-32,240.85,7707.2,SO-98661,Customer Sale,32,0,warehouse2,Transaction processed for WH_100 location,system,2026-03-17
780,3103,1,Damage,2025-10-01,-9,180.33,1622.97,DMG-780,Shipping Damage,126,117,warehouse2,Transaction processed for WH_100 location,system,2025-10-01
781,1543,1,Adjustment,2025-11-13,-18,65.36,1176.48,ADJ-781,Cycle Count,24,6,warehouse2,Transaction processed for WH_100 location,system,2025-11-13
782,2031,1,Sale,2025-09-20,-35,23.04,806.4,SO-43800,Customer Sale,35,0,warehouse2,Transaction processed for WH_100 location,system,2025-09-20
783,3062,3,Adjustment,2026-03-12,-3,88.18,264.54,ADJ-783,System Correction,110,107,warehouse2,Transaction processed for WH_500 location,system,2026-03-12
784,1511,2,Sale,2026-03-11,-10,321.96,3219.6,SO-53705,Customer Sale,213,203,system,Transaction processed for WH_200 location,system,2026-03-11
785,3022,1,Transfer,2026-03-08,-34,352.53,11986.02,TRF-6106,Warehouse Transfer,125,91,warehouse2,Transaction processed for WH_100 location,system,2026-03-08
786,2012,1,Receipt,2026-01-31,82,322.69,26460.58,PO-7579,Purchase Order Receipt,3,85,warehouse2,Transaction processed for WH_100 location,system,2026-01-31
787,1543,1,Receipt,2025-07-01,196,66.66,13065.36,PO-2716,Purchase Order Receipt,113,309,system,Transaction processed for WH_100 location,system,2025-07-01
788,2031,1,Receipt,2025-08-06,36,23.15,833.4,PO-2677,Purchase Order Receipt,141,177,system,Transaction processed for WH_100 location,system,2025-08-06
789,2071,2,Damage,2025-09-17,-9,21.94,197.46,DMG-789,Quality Issue,58,49,system,Transaction processed for Backup location,system,2025-09-17
790,1541,1,Receipt,2025-11-03,28,135.15,3784.2,PO-2080,Purchase Order Receipt,136,164,system,Transaction processed for WH_100 location,system,2025-11-03
791,3101,1,Sale,2026-04-13,-21,114.44,2403.24,SO-98275,Customer Sale,77,56,warehouse2,Transaction processed for WH_100 location,system,2026-04-13
792,1521,1,Sale,2025-08-21,-3,122.8,368.4,SO-37947,Customer Sale,85,82,system,Transaction processed for WH_100 location,system,2025-08-21
793,3103,2,Receipt,2026-04-30,111,177.25,19674.75,PO-6986,Purchase Order Receipt,47,158,system,Transaction processed for Backup location,system,2026-04-30
794,3013,1,Sale,2026-02-19,-1,344.68,344.68,SO-38291,Customer Sale,40,39,warehouse1,Transaction processed for WH_100 location,system,2026-02-19
795,2011,2,Sale,2025-10-12,-29,124.64,3614.56,SO-31016,Customer Sale,67,38,warehouse2,Transaction processed for Backup location,system,2025-10-12
796,3104,2,Sale,2025-07-29,-28,118.89,3328.92,SO-99513,Customer Sale,64,36,warehouse1,Transaction processed for WH_200 location,system,2025-07-29
797,3032,1,Sale,2025-10-05,-20,240.85,4817.0,SO-91306,Customer Sale,65,45,warehouse2,Transaction processed for WH_100 location,system,2025-10-05
798,1512,1,Sale,2026-04-30,-7,219.21,1534.47,SO-73342,Customer Sale,38,31,warehouse2,Transaction processed for WH_100 location,system,2026-04-30
799,2011,1,Sale,2025-12-29,-39,124.64,4860.96,SO-34561,Customer Sale,93,54,system,Transaction processed for WH_100 location,system,2025-12-29
800,2101,2,Sale,2025-09-16,-11,13.5,148.5,SO-39743,Customer Sale,100,89,warehouse1,Transaction processed for WH_200 location,system,2025-09-16
801,2061,1,Sale,2026-04-05,-26,25.72,668.72,SO-27307,Customer Sale,26,0,warehouse2,Transaction processed for WH_100 location,system,2026-04-05
802,3101,1,Receipt,2025-09-28,58,115.94,6724.52,PO-5473,Purchase Order Receipt,14,72,system,Transaction processed for WH_100 location,system,2025-09-28
803,2111,2,Receipt,2025-12-07,167,142.01,23715.67,PO-1496,Purchase Order Receipt,63,230,warehouse1,Transaction processed for WH_200 location,system,2025-12-07
804,3062,3,Sale,2026-03-01,-13,88.18,1146.34,SO-74153,Customer Sale,59,46,system,Transaction processed for WH_500 location,system,2026-03-01
805,3062,3,Damage,2026-02-11,-1,88.18,88.18,DMG-805,Shipping Damage,37,36,warehouse2,Transaction processed for WH_500 location,system,2026-02-11
806,1522,1,Receipt,2026-02-14,159,156.62,24902.58,PO-1721,Purchase Order Receipt,137,296,warehouse1,Transaction processed for WH_100 location,system,2026-02-14
807,1572,3,Sale,2026-03-25,-39,222.59,8681.01,SO-66715,Customer Sale,102,63,warehouse2,Transaction processed for WH_500 location,system,2026-03-25
808,3091,2,Transfer,2025-10-07,-15,456.94,6854.1,TRF-7253,Warehouse Transfer,95,80,warehouse2,Transaction processed for Backup location,system,2025-10-07
809,3033,1,Adjustment,2025-10-13,1,419.49,419.49,ADJ-809,System Correction,7,8,warehouse1,Transaction processed for WH_100 location,system,2025-10-13
810,1581,1,Damage,2025-07-22,-5,48.56,242.8,DMG-810,Shipping Damage,12,7,warehouse2,Transaction processed for WH_100 location,system,2025-07-22
811,1572,3,Sale,2025-10-23,-37,222.59,8235.83,SO-80599,Customer Sale,130,93,warehouse1,Transaction processed for WH_500 location,system,2025-10-23
812,2051,1,Sale,2025-11-10,-17,16.44,279.48,SO-89122,Customer Sale,130,113,warehouse1,Transaction processed for WH_100 location,system,2025-11-10
813,2111,2,Adjustment,2026-02-26,19,142.6,2709.4,ADJ-813,Physical Count,42,61,system,Transaction processed for WH_200 location,system,2026-02-26
814,3061,1,Sale,2026-03-08,-9,151.7,1365.3,SO-17151,Customer Sale,97,88,warehouse1,Transaction processed for WH_100 location,system,2026-03-08
815,3051,1,Receipt,2025-08-25,176,218.58,38470.08,PO-1610,Purchase Order Receipt,5,181,warehouse1,Transaction processed for WH_100 location,system,2025-08-25
816,3082,1,Sale,2026-01-06,-36,84.82,3053.52,SO-55089,Customer Sale,139,103,system,Transaction processed for WH_100 location,system,2026-01-06
817,1571,1,Transfer,2025-09-09,-5,109.65,548.25,TRF-4680,Warehouse Transfer,207,202,warehouse1,Transaction processed for WH_100 location,system,2025-09-09
818,3091,2,Sale,2025-11-21,-27,456.94,12337.38,SO-31450,Customer Sale,156,129,warehouse1,Transaction processed for WH_200 location,system,2025-11-21
819,3022,1,Sale,2026-03-24,-16,352.53,5640.48,SO-29865,Customer Sale,54,38,warehouse2,Transaction processed for WH_100 location,system,2026-03-24
820,1563,1,Damage,2025-08-04,-7,70.33,492.31,DMG-820,Warehouse Damage,12,5,warehouse2,Transaction processed for WH_100 location,system,2025-08-04
821,2071,2,Sale,2026-03-18,-11,21.94,241.34,SO-22558,Customer Sale,41,30,system,Transaction processed for Backup location,system,2026-03-18
822,1553,1,Receipt,2025-08-25,192,88.19,16932.48,PO-7090,Purchase Order Receipt,188,380,warehouse1,Transaction processed for WH_100 location,system,2025-08-25
823,2012,1,Adjustment,2026-01-14,-20,312.61,6252.2,ADJ-823,System Correction,160,140,system,Transaction processed for WH_100 location,system,2026-01-14
824,1561,2,Receipt,2026-04-01,83,84.74,7033.42,PO-1153,Purchase Order Receipt,73,156,system,Transaction processed for Backup location,system,2026-04-01
825,3051,1,Sale,2025-10-02,-7,226.49,1585.43,SO-79324,Customer Sale,7,0,warehouse2,Transaction processed for WH_100 location,system,2025-10-02
826,1531,1,Receipt,2026-01-29,131,93.75,12281.25,PO-2473,Purchase Order Receipt,50,181,system,Transaction processed for WH_100 location,system,2026-01-29
827,3031,3,Sale,2025-11-09,-1,419.97,419.97,SO-95464,Customer Sale,110,109,warehouse2,Transaction processed for WH_500 location,system,2025-11-09
828,1522,1,Sale,2026-03-13,-23,163.1,3751.3,SO-16962,Customer Sale,233,210,warehouse1,Transaction processed for WH_100 location,system,2026-03-13
829,3072,1,Receipt,2026-04-12,155,11.08,1717.4,PO-3496,Purchase Order Receipt,147,302,system,Transaction processed for WH_100 location,system,2026-04-12
830,1531,2,Sale,2025-08-23,-1,91.09,91.09,SO-92745,Customer Sale,46,45,system,Transaction processed for Backup location,system,2025-08-23
831,2022,1,Sale,2026-04-10,-34,36.37,1236.58,SO-73334,Customer Sale,69,35,system,Transaction processed for WH_100 location,system,2026-04-10
832,3042,1,Receipt,2026-01-19,98,62.9,6164.2,PO-1659,Purchase Order Receipt,293,391,warehouse2,Transaction processed for WH_100 location,system,2026-01-19
833,3031,3,Receipt,2026-03-17,200,415.52,83104.0,PO-1930,Purchase Order Receipt,17,217,warehouse2,Transaction processed for WH_500 location,system,2026-03-17
834,1531,2,Damage,2025-09-27,-3,91.09,273.27,DMG-834,Warehouse Damage,82,79,warehouse1,Transaction processed for Backup location,system,2025-09-27
835,1543,1,Receipt,2025-10-17,185,64.86,11999.1,PO-3641,Purchase Order Receipt,90,275,warehouse1,Transaction processed for WH_100 location,system,2025-10-17
836,3081,1,Sale,2025-08-31,-32,58.16,1861.12,SO-88457,Customer Sale,109,77,warehouse2,Transaction processed for WH_100 location,system,2025-08-31
837,3072,1,Transfer,2026-04-18,-32,10.7,342.4,TRF-1594,Warehouse Transfer,111,79,warehouse1,Transaction processed for WH_100 location,system,2026-04-18
838,3104,2,Receipt,2025-12-30,49,114.48,5609.52,PO-7742,Purchase Order Receipt,105,154,warehouse2,Transaction processed for WH_200 location,system,2025-12-30
839,2091,1,Sale,2025-12-10,-31,7.98,247.38,SO-96953,Customer Sale,53,22,warehouse2,Transaction processed for WH_100 location,system,2025-12-10
840,1542,1,Sale,2025-10-03,-42,90.83,3814.86,SO-43920,Customer Sale,196,154,system,Transaction processed for WH_100 location,system,2025-10-03
841,2031,1,Receipt,2026-01-12,79,24.17,1909.43,PO-6413,Purchase Order Receipt,84,163,system,Transaction processed for WH_100 location,system,2026-01-12
842,3022,2,Sale,2026-04-15,-10,352.53,3525.3,SO-43155,Customer Sale,37,27,warehouse2,Transaction processed for Backup location,system,2026-04-15
843,3104,2,Receipt,2025-10-30,125,114.3,14287.5,PO-2154,Purchase Order Receipt,155,280,system,Transaction processed for WH_200 location,system,2025-10-30
844,3021,1,Transfer,2026-04-13,-36,270.38,9733.68,TRF-6430,Warehouse Transfer,80,44,warehouse2,Transaction processed for WH_100 location,system,2026-04-13
845,2061,1,Sale,2025-07-05,-30,25.72,771.6,SO-14184,Customer Sale,89,59,warehouse2,Transaction processed for WH_100 location,system,2025-07-05
846,2081,2,Sale,2025-11-24,-26,25.3,657.8,SO-58132,Customer Sale,116,90,warehouse2,Transaction processed for WH_200 location,system,2025-11-24
847,1543,1,Adjustment,2025-08-26,-8,65.36,522.88,ADJ-847,Cycle Count,124,116,warehouse2,Transaction processed for WH_100 location,system,2025-08-26
848,3032,1,Damage,2026-03-14,-7,240.85,1685.95,DMG-848,Warehouse Damage,91,84,warehouse1,Transaction processed for WH_100 location,system,2026-03-14
849,2011,2,Receipt,2025-08-04,18,126.31,2273.58,PO-5941,Purchase Order Receipt,90,108,warehouse1,Transaction processed for Backup location,system,2025-08-04
850,1553,2,Damage,2026-03-21,-4,91.38,365.52,DMG-850,Warehouse Damage,91,87,warehouse1,Transaction processed for Backup location,system,2026-03-21
851,1541,1,Sale,2025-08-04,-5,132.59,662.95,SO-93092,Customer Sale,28,23,warehouse1,Transaction processed for WH_100 location,system,2025-08-04
852,1551,2,Receipt,2026-02-02,191,67.06,12808.46,PO-7259,Purchase Order Receipt,80,271,warehouse1,Transaction processed for Backup location,system,2026-02-02
853,1541,1,Return,2025-09-25,4,106.07,424.28,RET-29867,Customer Return,68,72,system,Transaction processed for WH_100 location,system,2025-09-25
854,2091,1,Sale,2026-04-15,-16,7.98,127.68,SO-79472,Customer Sale,42,26,system,Transaction processed for WH_100 location,system,2026-04-15
855,3062,3,Receipt,2025-12-25,188,89.94,16908.72,PO-5854,Purchase Order Receipt,51,239,warehouse1,Transaction processed for WH_500 location,system,2025-12-25
856,1521,1,Sale,2025-11-25,-12,122.8,1473.6,SO-80091,Customer Sale,49,37,warehouse2,Transaction processed for WH_100 location,system,2025-11-25
857,3031,2,Return,2025-07-18,4,335.98,1343.92,RET-86636,Customer Return,81,85,warehouse1,Transaction processed for Backup location,system,2025-07-18
858,3082,1,Sale,2026-02-10,-48,84.82,4071.36,SO-83189,Customer Sale,115,67,system,Transaction processed for WH_100 location,system,2026-02-10
859,3022,2,Receipt,2026-02-05,198,361.31,71539.38,PO-9458,Purchase Order Receipt,2,200,warehouse1,Transaction processed for Backup location,system,2026-02-05
860,2121,1,Transfer,2025-10-13,-34,31.62,1075.08,TRF-1266,Warehouse Transfer,105,71,system,Transaction processed for WH_100 location,system,2025-10-13
861,3022,2,Return,2025-09-13,1,282.02,282.02,RET-16384,Customer Return,39,40,warehouse2,Transaction processed for Backup location,system,2025-09-13
862,1551,2,Receipt,2025-10-28,168,66.69,11203.92,PO-9391,Purchase Order Receipt,82,250,warehouse1,Transaction processed for Backup location,system,2025-10-28
863,1552,2,Sale,2025-09-08,-43,58.45,2513.35,SO-43576,Customer Sale,209,166,system,Transaction processed for WH_200 location,system,2025-09-08
864,2051,1,Sale,2026-01-28,-10,16.44,164.4,SO-84558,Customer Sale,102,92,warehouse1,Transaction processed for WH_100 location,system,2026-01-28
865,1552,2,Transfer,2026-02-08,-41,58.45,2396.45,TRF-4408,Warehouse Transfer,200,159,warehouse1,Transaction processed for WH_200 location,system,2026-02-08
866,1561,1,Transfer,2026-04-19,-14,82.06,1148.84,TRF-8148,Warehouse Transfer,84,70,warehouse1,Transaction processed for WH_100 location,system,2026-04-19
867,2121,1,Damage,2025-07-04,-3,31.62,94.86,DMG-867,Shipping Damage,84,81,warehouse1,Transaction processed for WH_100 location,system,2025-07-04
868,2051,2,Receipt,2025-08-07,172,17.19,2956.68,PO-1117,Purchase Order Receipt,30,202,system,Transaction processed for Backup location,system,2025-08-07
869,3104,2,Adjustment,2025-10-27,1,118.89,118.89,ADJ-869,System Correction,33,34,system,Transaction processed for Backup location,system,2025-10-27
870,3103,1,Sale,2026-03-01,-27,180.33,4868.91,SO-61380,Customer Sale,49,22,warehouse1,Transaction processed for WH_100 location,system,2026-03-01
871,3042,1,Transfer,2026-02-25,-10,62.54,625.4,TRF-3912,Warehouse Transfer,132,122,warehouse2,Transaction processed for WH_100 location,system,2026-02-25
872,3052,1,Receipt,2025-07-01,126,110.99,13984.74,PO-2711,Purchase Order Receipt,62,188,system,Transaction processed for WH_100 location,system,2025-07-01
873,3022,1,Receipt,2025-09-27,192,344.7,66182.4,PO-7012,Purchase Order Receipt,98,290,warehouse2,Transaction processed for WH_100 location,system,2025-09-27
874,1572,3,Receipt,2025-09-07,49,230.05,11272.45,PO-2878,Purchase Order Receipt,213,262,warehouse2,Transaction processed for WH_500 location,system,2025-09-07
875,3041,2,Adjustment,2025-07-12,3,127.74,383.22,ADJ-875,Physical Count,65,68,warehouse2,Transaction processed for Backup location,system,2025-07-12
876,1551,2,Transfer,2026-04-16,-38,67.04,2547.52,TRF-4271,Warehouse Transfer,43,5,warehouse2,Transaction processed for Backup location,system,2026-04-16
877,2051,2,Transfer,2025-12-24,-38,16.44,624.72,TRF-6859,Warehouse Transfer,57,19,warehouse1,Transaction processed for Backup location,system,2025-12-24
878,3053,1,Sale,2025-12-20,-19,180.15,3422.85,SO-30048,Customer Sale,120,101,warehouse2,Transaction processed for WH_100 location,system,2025-12-20
879,2012,1,Sale,2025-10-22,-37,312.61,11566.57,SO-45886,Customer Sale,110,73,system,Transaction processed for WH_100 location,system,2025-10-22
880,3013,1,Receipt,2025-11-06,54,333.72,18020.88,PO-4516,Purchase Order Receipt,122,176,warehouse1,Transaction processed for WH_100 location,system,2025-11-06
881,1521,1,Receipt,2025-11-28,94,121.38,11409.72,PO-8851,Purchase Order Receipt,100,194,system,Transaction processed for WH_100 location,system,2025-11-28
882,3061,1,Sale,2025-10-10,-10,151.7,1517.0,SO-50925,Customer Sale,89,79,warehouse1,Transaction processed for WH_100 location,system,2025-10-10
883,1522,1,Sale,2025-11-22,-20,163.1,3262.0,SO-32402,Customer Sale,54,34,warehouse1,Transaction processed for WH_100 location,system,2025-11-22
884,3031,2,Transfer,2026-03-12,-17,419.97,7139.49,TRF-6420,Warehouse Transfer,93,76,warehouse1,Transaction processed for Backup location,system,2026-03-12
885,1521,1,Sale,2025-11-09,-3,122.8,368.4,SO-93037,Customer Sale,101,98,warehouse1,Transaction processed for WH_100 location,system,2025-11-09
886,3104,2,Return,2025-12-22,2,95.11,190.22,RET-85681,Customer Return,60,62,system,Transaction processed for WH_200 location,system,2025-12-22
887,3061,1,Sale,2025-08-13,-7,151.7,1061.9,SO-31106,Customer Sale,7,0,system,Transaction processed for WH_100 location,system,2025-08-13
888,3031,3,Receipt,2025-07-09,114,414.17,47215.38,PO-1667,Purchase Order Receipt,119,233,warehouse1,Transaction processed for WH_500 location,system,2025-07-09
889,3042,1,Sale,2025-08-31,-9,62.54,562.86,SO-93509,Customer Sale,233,224,warehouse1,Transaction processed for WH_100 location,system,2025-08-31
890,1542,1,Sale,2026-02-02,-3,90.83,272.49,SO-49947,Customer Sale,123,120,warehouse1,Transaction processed for WH_100 location,system,2026-02-02
891,3042,1,Receipt,2026-03-05,15,64.22,963.3,PO-9400,Purchase Order Receipt,280,295,warehouse2,Transaction processed for WH_100 location,system,2026-03-05
892,1563,1,Sale,2026-03-27,-1,70.33,70.33,SO-21780,Customer Sale,1,0,warehouse1,Transaction processed for WH_100 location,system,2026-03-27
893,3051,1,Sale,2026-01-21,-35,226.49,7927.15,SO-34122,Customer Sale,35,0,warehouse1,Transaction processed for WH_100 location,system,2026-01-21
894,1572,3,Adjustment,2026-02-04,9,222.59,2003.31,ADJ-894,Physical Count,96,105,system,Transaction processed for WH_500 location,system,2026-02-04
895,3022,1,Sale,2025-09-03,-50,352.53,17626.5,SO-77118,Customer Sale,83,33,system,Transaction processed for WH_100 location,system,2025-09-03
896,1522,1,Receipt,2025-12-14,120,166.04,19924.8,PO-7288,Purchase Order Receipt,63,183,warehouse1,Transaction processed for WH_100 location,system,2025-12-14
897,3031,2,Receipt,2025-09-14,68,407.74,27726.32,PO-2227,Purchase Order Receipt,69,137,warehouse2,Transaction processed for Backup location,system,2025-09-14
898,3053,1,Sale,2025-09-18,-38,180.15,6845.7,SO-39145,Customer Sale,133,95,warehouse1,Transaction processed for WH_100 location,system,2025-09-18
899,3021,1,Receipt,2026-01-28,61,260.28,15877.08,PO-5323,Purchase Order Receipt,47,108,warehouse2,Transaction processed for WH_100 location,system,2026-01-28
900,3101,1,Sale,2025-09-18,-48,114.44,5493.12,SO-13786,Customer Sale,86,38,warehouse1,Transaction processed for WH_100 location,system,2025-09-18
901,2112,1,Sale,2025-08-12,-33,66.6,2197.8,SO-43422,Customer Sale,141,108,warehouse2,Transaction processed for WH_100 location,system,2025-08-12
902,1542,1,Sale,2025-10-01,-35,90.83,3179.05,SO-62388,Customer Sale,147,112,warehouse2,Transaction processed for WH_100 location,system,2025-10-01
903,3022,2,Receipt,2025-08-27,130,360.99,46928.7,PO-5635,Purchase Order Receipt,20,150,warehouse1,Transaction processed for Backup location,system,2025-08-27
904,3042,2,Sale,2025-11-22,-35,62.54,2188.9,SO-22273,Customer Sale,118,83,warehouse2,Transaction processed for Backup location,system,2025-11-22
905,2091,1,Sale,2026-04-03,0,7.98,0.0,SO-59207,Customer Sale,0,0,warehouse1,Transaction processed for WH_100 location,system,2026-04-03
906,1541,2,Sale,2026-01-16,-15,132.59,1988.85,SO-47803,Customer Sale,78,63,warehouse2,Transaction processed for Backup location,system,2026-01-16
907,3072,1,Sale,2025-10-18,-22,10.7,235.4,SO-57581,Customer Sale,49,27,system,Transaction processed for WH_100 location,system,2025-10-18
908,3071,2,Sale,2026-01-19,-17,39.17,665.89,SO-16667,Customer Sale,39,22,warehouse2,Transaction processed for WH_200 location,system,2026-01-19
909,1553,2,Receipt,2025-10-06,188,90.54,17021.52,PO-3251,Purchase Order Receipt,11,199,warehouse1,Transaction processed for Backup location,system,2025-10-06
910,3041,2,Adjustment,2025-11-13,5,127.74,638.7,ADJ-910,System Correction,53,58,system,Transaction processed for Backup location,system,2025-11-13
911,3011,1,Sale,2025-09-24,-47,968.68,45527.96,SO-51039,Customer Sale,128,81,warehouse2,Transaction processed for WH_100 location,system,2025-09-24
912,3042,2,Adjustment,2025-08-25,1,62.54,62.54,ADJ-912,Physical Count,25,26,warehouse2,Transaction processed for Backup location,system,2025-08-25
913,2091,1,Receipt,2026-04-02,21,7.75,162.75,PO-4779,Purchase Order Receipt,67,88,warehouse2,Transaction processed for WH_100 location,system,2026-04-02
914,1531,2,Sale,2025-07-17,-18,91.09,1639.62,SO-74738,Customer Sale,50,32,warehouse2,Transaction processed for Backup location,system,2025-07-17
